city,salary_men,salary_women,population
Vallon-Pont-d'Arc,12.6,10.6,2182
Vals-les-Bains,12.0,10.2,3195
Les Vans,11.8,10.5,2605
Vernosc-lès-Annonay,14.5,11.3,2389
Villeneuve-de-Berg,13.1,10.4,2433
Viviers,14.8,11.1,3812
La Voulte-sur-Rhône,12.4,10.8,4904
Bazeilles,14.1,11.2,1876
Bogny-sur-Meuse,11.9,10.9,5074
Carignan,12.5,10.5,2817
Charleville-Mézières,13.3,11.3,46782
Donchery,12.9,11.0,2090
Floing,13.7,11.6,2390
Fumay,11.5,10.0,3380
Givet,15.0,11.2,6486
Haybes,13.3,10.9,1922
Monthermé,12.5,11.3,2258
Mouzon,13.8,10.7,2282
Nouvion-sur-Meuse,13.2,10.8,2175
Nouzonville,12.3,11.0,5889
Rethel,12.6,10.8,7459
Revin,12.4,11.2,6415
Rocroi,12.6,10.4,2294
Sedan,12.5,10.5,17352
Villers-Semeuse,13.8,11.0,3500
Vireux-Wallerand,17.0,10.8,2019
Vivier-au-Court,13.9,11.3,2900
Vouziers,12.4,10.4,3662
Vrigne-aux-Bois,13.4,11.0,3221
Foix,13.2,11.2,9379
Laroque-d'Olmes,12.0,10.5,2365
Lavelanet,11.3,10.5,6105
Lézat-sur-Lèze,13.4,11.2,2250
Mazères,13.5,10.7,4263
Mirepoix,12.9,10.6,3197
Pamiers,12.8,10.6,14649
Saint-Girons,12.7,10.5,5874
Saint-Jean-du-Falga,13.2,11.0,2563
Saverdun,13.5,10.9,4349
Tarascon-sur-Ariège,12.8,10.6,3116
La Tour-du-Crieu,13.6,11.3,3045
Varilhes,12.5,11.4,3267
Verniolle,14.0,11.3,2236
Arcis-sur-Aube,12.2,10.5,2708
Bar-sur-Aube,12.5,10.3,4704
Bar-sur-Seine,12.0,10.5,2785
Bréviandes,14.3,12.0,2499
Brienne-le-Château,12.7,10.2,2622
La Chapelle-Saint-Luc,11.5,10.4,12163
Les Noës-près-Troyes,12.0,10.5,2984
Nogent-sur-Seine,15.8,12.4,5806
Pont-Sainte-Marie,13.1,10.6,4512
La Rivière-de-Corps,16.4,12.4,2975
Romilly-sur-Seine,12.3,10.2,13743
Rosières-près-Troyes,15.0,12.0,3673
Saint-André-les-Vergers,13.8,11.5,11696
Saint-Germain,13.3,11.4,5271
Saint-Julien-les-Villas,14.0,11.5,6702
Saint-Lyé,14.9,12.0,2906
Saint-Parres-aux-Tertres,13.8,11.0,2813
Sainte-Savine,13.9,11.6,9806
Troyes,12.5,10.9,58769
Vendeuvre-sur-Barse,11.9,10.0,2222
Villenauxe-la-Grande,13.8,10.7,2087
Bram,12.1,10.4,3178
Carcassonne,12.3,11.1,44330
Castelnaudary,12.7,10.6,10007
Conques-sur-Orbiel,12.1,11.2,2301
Coursan,12.2,10.8,5777
Cuxac-d'Aude,12.4,10.3,3722
Fleury,12.4,10.8,6982
Gruissan,12.6,11.1,4697
Leucate,11.7,10.9,4365
Lézignan-Corbières,11.9,10.6,10827
Limoux,11.6,10.7,9601
Narbonne,12.9,11.2,51663
Port-la-Nouvelle,11.9,10.2,5550
Ouveillan,12.8,11.4,2268
Palaja,14.2,11.9,2165
Pennautier,12.5,10.5,2206
Quillan,11.5,10.1,3300
Rieux-Minervois,11.4,10.4,1915
Sallèles-d'Aude,13.5,10.8,2784
Salles-d'Aude,13.9,11.1,3087
Sigean,12.5,10.3,5424
Trèbes,11.9,10.9,5278
Villemoustaussou,14.3,11.1,4266
Vinassan,14.1,11.5,2529
Aubin,12.4,10.6,3980
Bozouls,12.6,11.5,2636
Capdenac-Gare,12.9,10.6,4430
Baraqueville,12.7,10.9,2971
Decazeville,12.3,10.6,5358
Druelle,14.7,11.7,2183
Espalion,12.2,10.5,4168
Firmi,12.5,10.1,2296
Flavin,13.6,11.4,2210
Luc-la-Primaube,13.5,11.3,5740
Millau,12.5,10.6,21358
Le Monastère,14.1,11.6,2080
Olemps,14.3,11.7,2867
Onet-le-Château,13.4,11.2,11528
Réquista,13.4,10.4,1883
Rieupeyroux,11.6,10.4,1963
Rodez,13.4,11.5,22992
Saint-Affrique,12.6,10.9,7669
Salles-la-Source,14.0,12.1,2095
Sébazac-Concourès,13.6,11.7,3105
Villefranche-de-Rouergue,12.4,10.5,11035
Aix-en-Provence,18.1,13.4,134257
Allauch,17.7,13.7,21016
Alleins,17.6,13.0,2359
Arles,13.5,11.2,51663
Aubagne,14.5,12.1,43115
Auriol,16.6,13.1,11105
Barbentane,14.8,12.7,3869
Berre-l'Étang,12.9,10.6,13002
Bouc-Bel-Air,20.1,14.7,13321
La Bouilladisse,17.8,13.5,5834
Cabannes,13.8,11.3,4323
Cabriès,22.0,16.1,9413
Cadolive,16.9,13.6,2101
Carry-le-Rouet,22.8,15.9,5910
Cassis,18.6,14.7,7225
Ceyreste,19.2,14.2,4218
Charleval,15.5,12.0,4301
Châteauneuf-le-Rouge,21.6,16.1,2106
Châteauneuf-les-Martigues,15.0,12.2,13782
Châteaurenard,13.6,11.4,15455
La Ciotat,15.6,12.7,34796
Cuges-les-Pins,15.6,12.3,4877
La Destrousse,16.1,12.6,3041
Éguilles,23.4,15.5,7408
Ensuès-la-Redonne,19.5,15.1,5239
Eyguières,17.3,12.7,6821
Eyragues,13.8,12.0,4088
La Fare-les-Oliviers,17.3,13.1,7911
Fontvieille,15.7,12.4,3596
Fos-sur-Mer,15.3,11.5,15626
Fuveau,18.4,13.8,9560
Gardanne,14.3,11.8,19579
Gémenos,20.3,14.2,5944
Gignac-la-Nerthe,14.9,12.4,9100
Grans,18.5,13.6,4353
Graveson,13.6,11.5,4531
Gréasque,17.7,13.6,3964
Istres,15.2,11.5,41919
Jouques,17.6,12.8,4213
Lambesc,17.7,12.5,9172
Lançon-Provence,17.4,13.4,8628
Maillane,14.3,11.6,2442
Mallemort,15.9,11.6,5839
Marignane,14.2,11.8,33348
Marseille,14.8,12.5,834137
Martigues,15.3,12.4,47779
Maussane-les-Alpilles,16.1,11.8,2112
Meyrargues,17.8,12.9,3591
Meyreuil,18.6,13.5,5328
Mimet,18.7,14.6,4444
Miramas,13.5,10.8,24979
Mollégès,15.4,12.6,2529
Mouriès,16.0,11.6,3395
Noves,14.3,12.0,5400
Orgon,13.6,11.1,3098
Pélissanne,18.7,13.4,9691
La Penne-sur-Huveaune,14.7,12.8,5950
Les Pennes-Mirabeau,15.8,13.0,20191
Peynier,19.3,15.1,3128
Peypin,16.9,13.4,5350
Peyrolles-en-Provence,15.4,12.6,4793
Plan-de-Cuques,16.6,13.2,10164
Plan-d'Orgon,13.9,11.3,3197
Port-de-Bouc,13.9,10.7,16854
Port-Saint-Louis-du-Rhône,15.0,10.5,8562
Le Puy-Sainte-Réparade,17.5,13.0,5075
Rognac,15.2,12.0,11638
Rognes,19.9,13.5,4469
Rognonas,14.6,11.6,3949
La Roque-d'Anthéron,14.5,11.0,5053
