city,salary_men,salary_women,population
Lodève,11.8,10.4,7056
Loupian,13.9,11.7,2043
Lunel,12.7,11.0,24163
Lunel-Viel,13.4,12.0,3650
Magalas,13.3,10.9,3285
Maraussan,13.1,10.8,3998
Marseillan,12.0,10.5,7878
Marsillargues,14.1,11.5,6058
Mauguio,15.1,12.8,16597
Mèze,13.6,11.3,10957
Mireval,14.2,11.6,3245
Montady,13.5,11.1,3868
Montagnac,12.4,10.4,4178
Montarnaud,15.2,13.2,2793
Montbazin,15.2,12.1,2978
Montblanc,13.7,11.2,2680
Montferrier-sur-Lez,26.0,15.6,3388
Montpellier,13.7,12.0,266921
Mudaison,16.0,13.0,2525
Murviel-lès-Béziers,13.2,10.8,2933
Nissan-lez-Enserune,12.8,10.7,3727
Palavas-les-Flots,14.1,11.8,6116
Paulhan,11.9,10.4,3749
Pérols,17.7,13.2,8903
Pézenas,12.3,10.7,7881
Pignan,15.5,12.8,6190
Pomérols,13.1,10.9,2080
Portiragnes,13.8,11.4,3141
Poussan,13.9,11.3,5890
Prades-le-Lez,17.1,13.5,4840
Puisserguier,12.5,10.6,2758
Saint-André-de-Sangonis,13.5,11.5,5405
Saint-Aunès,15.8,13.9,2913
Saint-Brès,14.7,12.4,3408
Saint-Clément-de-Rivière,25.1,16.0,4458
Saint-Drézéry,17.8,13.1,2217
Saint-Gély-du-Fesc,21.0,14.9,9407
Saint-Georges-d'Orques,15.3,13.3,5204
Saint-Jean-de-Védas,18.0,14.2,8374
Saint-Just,14.1,11.6,7009
Saint-Martin-de-Londres,14.3,11.9,2519
Saint-Mathieu-de-Tréviers,16.1,12.9,4575
Saint-Pargoire,13.4,11.3,2173
Saint-Pons-de-Thomières,12.6,10.0,1653
Saint-Thibéry,12.5,10.3,2322
Sauvian,14.8,11.3,4959
Sérignan,13.5,10.9,6923
Servian,13.5,10.6,4326
Sète,13.0,11.2,43408
Sussargues,20.3,13.6,2618
Teyran,18.9,14.3,4555
Thézan-lès-Béziers,13.0,10.9,2859
Vailhauquès,16.4,13.6,2599
Valergues,15.4,12.3,1931
Valras-Plage,12.7,10.6,4141
Vendargues,15.3,12.8,6045
Vendres,13.9,11.0,2508
Vias,12.3,10.3,5371
Vic-la-Gardiole,13.1,11.4,3001
Villeneuve-lès-Béziers,12.6,10.7,4208
Villeneuve-lès-Maguelone,14.4,12.8,8696
Villeveyrac,13.3,11.3,3648
La Grande-Motte,14.8,11.6,8423
Acigné,16.1,13.0,6272
Argentré-du-Plessis,14.2,11.0,4147
Bain-de-Bretagne,13.5,11.1,7000
Bains-sur-Oust,13.7,11.7,3372
Bais,12.3,10.3,3226
Balazé,13.3,10.4,2248
Baulon,13.4,11.2,2070
Bédée,14.1,12.3,4091
Betton,17.6,13.5,10434
La Bouëxière,14.0,11.6,4107
Bourgbarré,14.9,12.1,3746
Bourg-des-Comptes,14.1,11.8,3040
Bréal-sous-Montfort,13.8,11.8,5600
Brécé,15.8,12.4,2095
Breteil,13.4,11.7,3483
Bruz,18.0,12.8,16918
Cancale,15.2,11.3,4967
Cesson-Sévigné,19.9,14.1,16721
Chantepie,15.4,12.6,10209
La Chapelle-des-Fougeretz,15.8,12.6,4634
Chartres-de-Bretagne,15.8,12.5,7178
Châteaubourg,14.6,12.0,6874
Châteaugiron,17.3,13.2,7263
Chavagne,15.4,12.7,3619
Cintré,15.1,12.9,2144
Combourg,13.2,11.4,5505
Corps-Nuds,14.1,12.1,3095
Crevin,13.8,11.3,2596
Dinard,16.2,11.8,9451
Dol-de-Bretagne,12.3,10.9,5120
Domagné,13.3,11.5,2192
Domloup,15.7,12.0,2956
Étrelles,13.5,11.4,2420
Fougères,12.6,11.0,19354
La Fresnais,11.7,10.1,2322
Gévezé,15.1,12.1,5145
Goven,14.2,11.9,4303
Grand-Fougeray,12.9,11.1,2316
La Guerche-de-Bretagne,12.6,10.3,4091
Guichen,14.3,12.0,7933
Guignen,13.0,11.3,3664
Hédé-Bazouges,14.0,12.2,2013
L'Hermitage,14.4,11.6,4054
Iffendic,13.1,11.0,4395
Irodouër,12.6,11.2,2141
Janzé,14.0,11.2,7989
Laillé,16.4,12.7,4954
Lécousse,15.0,11.5,3043
Liffré,15.8,12.3,7056
Louvigné-du-Désert,11.5,10.0,3282
Martigné-Ferchaud,12.6,10.8,2512
Maure-de-Bretagne,12.5,10.9,3208
Melesse,16.4,12.6,5700
Messac,12.9,10.7,82
La Mézière,16.2,12.8,4600
Miniac-Morvan,12.4,10.3,3724
Montauban-de-Bretagne,13.7,11.3,4825
Montfort-sur-Meu,14.8,12.1,6191
Montgermont,16.9,13.1,3222
Montreuil-sur-Ille,13.4,11.3,2140
Mordelles,14.3,12.1,7101
Nouvoitou,15.0,12.8,2812
Noyal-Châtillon-sur-Seiche,14.8,12.4,6664
Noyal-sur-Vilaine,15.2,12.2,5541
Orgères,15.0,12.5,4087
Pacé,18.1,13.6,11224
Pipriac,11.9,10.8,3439
Piré-sur-Seiche,13.5,11.7,2396
Pléchâtel,13.3,11.2,2540
Plélan-le-Grand,13.0,10.9,3628
Plerguer,11.8,10.2,2451
Pleumeleuc,14.3,11.6,3126
Pleurtuit,14.1,11.0,6216
Redon,13.4,11.5,8233
Rennes,15.0,12.6,202962
Retiers,12.8,10.5,4028
Le Rheu,15.6,13.2,7840
La Richardais,16.6,12.0,2281
Romagné,13.6,11.1,2258
Romillé,13.9,12.0,3776
Saint-Aubin-d'Aubigné,14.2,11.4,3419
Saint-Aubin-du-Cormier,13.8,11.2,3166
Saint-Brice-en-Coglès,12.0,10.1,2747
Saint-Coulomb,15.4,11.5,2551
Saint-Domineuc,13.8,11.0,2420
Saint-Erblon,15.1,12.1,2896
Saint-Germain-en-Coglès,12.6,10.5,1940
Saint-Gilles,15.3,12.4,18405
Saint-Grégoire,21.7,14.9,9574
Saint-Jacques-de-la-Lande,12.9,11.6,11696
Saint-Jouan-des-Guérets,14.5,11.4,2547
Saint-Lunaire,16.3,12.6,2236
Saint-Malo,14.7,11.2,43684
Sainte-Marie,13.2,11.5,57951
Saint-Méen-le-Grand,12.2,10.7,4088
Saint-Méloir-des-Ondes,13.2,10.7,3853
Saint-Père,13.7,11.2,3627
Saint-Pierre-de-Plesguen,12.7,11.2,2750
Saint-Thurial,13.4,11.5,2082
Sens-de-Bretagne,12.9,11.5,2425
Servon-sur-Vilaine,14.6,12.2,3569
Sixt-sur-Aff,12.2,10.7,2068
Talensac,13.8,11.8,2432
Thorigné-Fouillard,18.5,14.4,7684
Tinténiac,13.6,11.4,3264
Val-d'Izé,12.8,10.7,2469
Vern-sur-Seiche,16.5,12.9,7701
Vezin-le-Coquet,15.0,12.6,4226
Vitré,14.2,11.4,16815
Pont-Péan,15.5,12.8,3919
Ardentes,13.7,11.1,3814
Argenton-sur-Creuse,12.4,11.1,4743
Le Blanc,11.6,10.4,6235
Buzançais,11.9,10.2,4205
Chabris,12.3,10.5,2551
Châteauroux,13.0,11.2,43056
Châtillon-sur-Indre,11.4,10.0,2429
La Châtre,12.5,10.8,3887
Déols,13.3,11.1,7360
Issoudun,12.7,11.3,11550
Levroux,11.7,10.6,2740
Le Poinçonnet,14.9,12.3,5826
Reuilly,12.1,10.9,2607
Saint-Maur,14.1,11.5,3819
Valençay,11.6,10.7,2204
Vatan,11.9,10.7,1924
Villedieu-sur-Indre,12.3,10.5,2688
Amboise,14.0,11.5,12653
Artannes-sur-Indre,14.9,12.3,2492
Athée-sur-Cher,14.7,12.3,2610
Auzouer-en-Touraine,13.9,11.2,2005
Azay-le-Rideau,14.8,11.8,3345
Azay-sur-Cher,17.6,13.2,3050
Ballan-Miré,17.4,13.0,7549
Beaumont-en-Véron,18.6,12.7,2635
Bléré,13.8,11.3,4846
Bourgueil,19.1,13.2,3620
Chambray-lès-Tours,15.2,12.3,10662
Chanceaux-sur-Choisille,15.6,12.3,3412
Château-Renault,11.9,10.1,4845
Chinon,15.5,11.9,7413
Chouzé-sur-Loire,14.6,11.1,2056
Cinq-Mars-la-Pile,14.0,11.4,3338
La Croix-en-Touraine,14.4,11.4,2156
Esvres,15.2,12.5,5218
Fondettes,18.9,13.7,10149
Descartes,13.0,10.5,3548
Joué-lès-Tours,13.8,11.6,36724
Langeais,13.2,11.5,4126
Larçay,17.8,13.7,2373
Ligueil,11.2,9.5,1994
Loches,12.9,10.6,5946
Luynes,15.8,12.3,4794
La Membrolle-sur-Choisille,17.0,13.8,2794
Mettray,18.2,13.3,2045
Monnaie,14.8,12.1,4105
Montbazon,16.9,12.6,4150
Montlouis-sur-Loire,15.3,12.6,10310
Monts,15.3,12.5,7764
Nazelles-Négron,13.1,11.5,3575
Notre-Dame-d'Oé,16.7,12.8,3873
Parçay-Meslay,14.9,12.7,2279
La Riche,13.2,11.6,10235
Rochecorbon,19.0,13.8,3011
Saint-Avertin,19.7,14.3,14653
Saint-Branchs,13.8,12.1,2579
Saint-Cyr-sur-Loire,19.0,13.7,15567
Saint-Martin-le-Beau,14.8,12.3,3059
Sainte-Maure-de-Touraine,12.5,10.7,4048
Saint-Pierre-des-Corps,12.9,11.3,15151
Savonnières,16.8,12.7,3082
Semblançay,15.5,12.1,2037
Sorigny,13.7,12.0,2341
Tours,14.3,12.0,130963
Truyes,14.7,12.3,2212
Veigné,16.5,12.7,5909
Véretz,16.3,13.0,4260
Vernou-sur-Brenne,15.4,13.3,2504
La Ville-aux-Dames,13.9,12.2,5093
Vouvray,17.3,13.0,2969
Allevard,15.3,11.6,4093
Aoste,13.3,11.1,2729
Apprieu,16.5,12.7,3214
Beaurepaire,12.4,10.1,7220
Bernin,25.2,16.7,3103
Biviers,34.2,20.3,2325
Le Bourg-d'Oisans,14.2,11.8,3065
Bourgoin-Jallieu,13.9,11.8,26540
Brié-et-Angonnes,21.8,15.0,2374
La Buisse,18.6,13.6,3090
Cessieu,14.8,11.8,2722
Champ-sur-Drac,15.6,12.5,3040
Chanas,14.7,11.7,2357
Chapareillan,16.7,12.5,2827
Charvieu-Chavagneux,14.0,11.7,8551
Chasse-sur-Rhône,13.9,11.6,5649
Chatte,13.9,11.5,2309
Chavanoz,14.2,12.0,4387
Le Cheylas,15.6,12.7,2602
Chirens,16.2,12.7,2350
Chuzelles,18.2,13.8,2025
Claix,21.4,15.6,8637
Corbelin,14.5,12.0,2119
Corenc,30.3,19.5,3837
La Côte-Saint-André,14.1,11.7,4337
Coublevie,21.2,15.1,4458
Crémieu,16.4,12.2,3210
Crolles,20.5,15.5,8246
Diémoz,16.6,12.8,2481
Dolomieu,15.9,12.0,2974
Domène,15.2,12.5,6649
Échirolles,13.9,11.8,35152
Estrablin,16.4,12.4,3191
Eybens,16.6,13.6,9920
Eyzin-Pinet,15.8,12.9,2092
Fontaine,13.6,11.7,22854
Fontanil-Cornillon,17.9,14.4,2645
Froges,16.1,13.3,3274
Gières,16.4,13.0,6182
Goncelin,15.3,13.1,2236
Le Grand-Lemps,14.5,12.2,2881
Grenoble,15.8,13.0,157802
Heyrieux,15.5,12.8,4468
L'Isle-d'Abeau,14.8,11.9,15803
Izeaux,14.9,11.7,2083
Jardin,19.0,14.0,2123
Jarrie,18.7,14.7,3746
Lans-en-Vercors,18.7,13.9,2667
Lumbin,21.2,14.9,2133
Luzinay,17.8,14.2,2137
Meylan,22.8,15.9,16870
Moirans,15.6,12.4,7816
Montalieu-Vercieu,13.1,11.1,3224
Montbonnot-Saint-Martin,22.9,16.8,4681
Morestel,15.0,11.6,3982
La Mure,12.7,10.8,4765
Nivolas-Vermelle,15.8,12.2,2385
Noyarey,17.3,13.3,2152
Le Péage-de-Roussillon,13.1,10.2,6305
Poisat,17.8,15.0,2114
Pontcharra,15.0,11.8,7219
Le Pont-de-Beauvoisin,13.7,11.5,5226
Pont-de-Chéruy,12.9,10.9,5084
Le Pont-de-Claix,13.5,11.4,10659
Pont-Évêque,13.1,11.1,5123
Renage,13.9,11.8,3511
Rives,14.6,11.6,6049
Roussillon,14.6,11.3,9382
Sablons,14.1,11.3,3385
Saint-André-le-Gaz,14.7,11.8,2671
Saint-Chef,15.8,12.5,3399
Saint-Clair-de-la-Tour,14.1,11.2,3281
Saint-Clair-du-Rhône,16.0,12.0,3876
Saint-Égrève,17.7,14.0,15022
Saint-Étienne-de-Crossey,18.4,13.7,2498
Saint-Étienne-de-Saint-Geoirs,14.1,11.1,3037
Saint-Geoire-en-Valdaine,15.2,12.2,2168
Saint-Georges-de-Commiers,16.5,12.9,2125
Saint-Georges-d'Espéranche,15.5,12.7,3273
Saint-Ismier,27.0,18.5,6468
Saint-Jean-de-Bournay,14.2,11.5,4337
Saint-Jean-de-Moirans,18.0,13.3,3268
Saint-Just-Chaleyssin,18.5,14.4,2387
Saint-Laurent-du-Pont,14.2,11.7,4094
Saint-Marcellin,13.0,11.0,7851
Saint-Martin-d'Hères,13.8,11.8,34831
Saint-Martin-d'Uriage,24.7,17.4,5420
Saint-Martin-le-Vinoux,15.5,12.5,5309
Saint-Maurice-l'Exil,15.6,11.7,5906
Saint-Nazaire-les-Eymes,26.0,17.0,2873
Saint-Paul-de-Varces,20.2,15.4,2200
Saint-Quentin-Fallavier,13.6,11.8,5230
Saint-Romain-de-Jalionas,16.4,12.3,3193
Saint-Sauveur,14.6,11.5,11618
Saint-Savin,15.8,12.4,8037
Saint-Siméon-de-Bressieux,13.5,11.5,2777
Saint-Victor-de-Cessieu,14.5,11.9,2190
Salaise-sur-Sanne,15.5,11.3,4449
Sassenage,16.1,13.3,11440
Satolas-et-Bonce,15.5,13.2,2268
Seyssinet-Pariset,15.6,12.9,11879
Seyssins,20.6,15.4,6812
Seyssuel,18.1,14.5,1892
La Terrasse,20.0,14.5,2399
Tignieu-Jameyzieu,15.3,12.1,6696
La Tour-du-Pin,13.3,11.3,7657
Le Touvet,18.9,14.0,3053
La Tronche,20.4,15.1,5815
Tullins,15.1,12.2,7284
Valencin,17.9,14.3,2584
Varces-Allières-et-Risset,17.4,14.0,6399
Vaulnaveys-le-Haut,20.4,15.7,3569
Vaulx-Milieu,17.1,13.1,2392
La Verpillière,14.1,12.1,6661
Le Versoud,16.7,13.6,4561
Vienne,14.7,12.2,28397
Vif,16.5,12.6,7903
Villard-Bonnot,15.7,12.6,7141
Villard-de-Lans,14.7,11.5,4031
Villefontaine,13.4,11.5,18335
Villette-d'Anthon,17.8,13.7,4624
Vinay,13.8,11.4,4487
Vizille,14.0,11.3,7369
Voiron,15.6,12.4,19741
Voreppe,17.2,13.5,9203
Arbois,12.9,10.7,3105
Champagnole,12.3,10.2,7589
Damparis,14.9,10.5,2754
Dole,14.1,11.1,22389
Foucherans,13.9,10.5,2429
Lons-le-Saunier,12.6,11.1,16469
Moirans-en-Montagne,12.5,10.3,2068
Montmorot,13.8,11.1,2790
Morbier,14.6,11.0,2220
Poligny,13.2,10.9,4986
Les Rousses,14.1,12.3,3204
Saint-Amour,12.0,11.3,2261
Saint-Claude,12.1,10.4,19872
Saint-Lupicin,13.4,11.1,2055
Salins-les-Bains,11.2,10.1,2328
Tavaux,17.3,11.9,3896
Aire-sur-l'Adour,13.9,11.2,5819
Bénesse-Maremne,13.6,10.7,2751
Biscarrosse,13.9,11.0,13962
Capbreton,14.9,11.6,8128
Dax,12.5,10.9,19604
Grenade-sur-l'Adour,11.7,10.4,2449
Hagetmau,11.9,10.6,4520
Labenne,15.4,11.9,5504
Labouheyre,11.5,10.3,2618
Mimizan,13.1,10.6,6782
Mont-de-Marsan,12.6,11.2,28789
Morcenx,11.9,10.2,4086
Narrosse,12.8,10.5,3012
Ondres,15.3,12.0,4860
Parentis-en-Born,12.9,10.3,5640
Peyrehorade,12.8,10.6,3356
Pontonx-sur-l'Adour,13.0,10.5,2660
Pouillon,13.4,10.9,3242
Rion-des-Landes,12.2,11.1,2385
Saint-Geours-de-Maremne,12.7,10.7,2533
Saint-Martin-de-Seignanx,13.9,11.3,4836
Saint-Paul-lès-Dax,13.0,10.8,12673
Saint-Pierre-du-Mont,12.9,11.1,9521
Saint-Sever,12.4,11.1,4583
Saint-Vincent-de-Paul,13.9,11.3,3734
Saint-Vincent-de-Tyrosse,12.5,10.9,7588
Sanguinet,15.1,11.2,3586
Seignosse,16.7,12.2,3717
Soorts-Hossegor,18.3,13.0,3634
Soustons,13.8,11.3,7393
Tarnos,13.8,11.2,11955
Tartas,12.6,11.1,2983
Tosse,14.4,11.3,2454
Villeneuve-de-Marsan,12.5,10.3,2278
Ychoux,12.5,11.2,2081
Blois,13.8,11.7,44927
Cellettes,16.8,12.9,2942
Chailles,15.4,12.5,2427
La Chaussée-Saint-Victor,15.8,12.7,4310
Contres,13.2,10.6,3411
Cour-Cheverny,16.3,12.1,2524
Gièvres,12.7,10.8,1964
Huisseau-sur-Cosson,15.2,12.7,2235
Lamotte-Beuvron,13.4,11.7,4509
Mer,13.7,11.6,6056
Montoire-sur-le-Loir,12.4,10.6,3515
Mont-près-Chambord,15.3,12.3,3127
Naveil,14.8,12.2,2128
Nouan-le-Fuzelier,12.8,11.1,2240
Noyers-sur-Cher,12.0,10.7,2702
Onzain,13.9,11.4,3293
Pruniers-en-Sologne,14.5,11.6,2435
Romorantin-Lanthenay,12.8,10.8,16680
Saint-Aignan,12.1,11.2,4129
Saint-Georges-sur-Cher,13.9,11.4,2414
Saint-Gervais-la-Forêt,16.2,13.8,3222
Saint-Laurent-Nouan,16.2,11.8,4056
Saint-Ouen,14.4,11.5,51890
Salbris,12.7,10.8,5199
Savigny-sur-Braye,12.5,10.9,1937
Selles-sur-Cher,12.0,10.2,4219
Vendôme,14.2,11.7,15875
Villebarou,14.3,11.8,2520
Villefranche-sur-Cher,13.0,10.9,2633
Vineuil,15.9,12.5,8405
Andrézieux-Bouthéon,14.1,11.4,9537
Balbigny,12.7,10.3,2833
Bellegarde-en-Forez,13.9,11.8,1860
Boën-sur-Lignon,12.4,10.5,3015
Bonson,13.9,11.4,4466
Bourg-Argental,12.7,11.0,2743
Le Chambon-Feugerolles,12.0,10.1,12049
Charlieu,12.1,10.2,3515
Chavanay,14.8,11.9,2793
Chazelles-sur-Lyon,13.1,10.6,4961
Commelle-Vernay,14.4,11.5,2775
Le Coteau,12.4,10.8,6380
L'Étrat,24.8,13.4,2560
Feurs,12.9,10.5,7608
Firminy,12.3,10.6,16400
La Fouillouse,18.2,12.9,4148
Fraisses,13.7,11.4,3697
La Grand-Croix,13.3,10.9,4848
L'Horme,13.1,10.5,4703
Lorette,13.0,11.3,4606
Mably,12.6,10.8,7297
Montbrison,13.8,10.8,15069
Montrond-les-Bains,14.5,11.5,5061
Panissières,12.6,10.2,2873
Pélussin,15.8,12.5,3544
Perreux,15.0,11.9,2026
Pouilly-sous-Charlieu,12.5,10.6,2525
Renaison,14.9,11.2,2933
La Ricamarie,11.6,10.3,7860
Riorges,14.0,11.2,10515
Rive-de-Gier,13.0,10.9,14414
Roanne,12.1,10.6,33804
Roche-la-Molière,13.4,11.6,9738
Saint-Chamond,13.2,11.1,34308
Saint-Cyprien,14.7,11.8,14310
Saint-Étienne,13.4,11.4,166137
Saint-Galmier,17.5,12.5,5233
Saint-Genest-Lerpt,16.4,12.3,5906
Saint-Genest-Malifaux,14.6,12.0,2745
Genilac,15.1,12.2,3716
Saint-Héand,15.6,12.7,3365
Saint-Jean-Bonnefonds,15.1,11.6,6585
Saint-Marcellin-en-Forez,14.3,11.7,4484
Saint-Martin-la-Plaine,15.8,12.6,3740
Saint-Paul-en-Jarez,14.6,11.8,4368
Saint-Priest-en-Jarez,18.3,12.6,5673
Saint-Just-Saint-Rambert,16.9,12.7,13588
Saint-Romain-le-Puy,14.2,10.9,3812
Savigneux,14.3,12.3,4624
Sorbiers,15.8,12.8,7978
Sury-le-Comtal,13.4,11.0,6016
La Talaudière,14.8,11.7,5784
Unieux,13.4,11.1,8816
Veauche,15.3,11.8,8723
Villars,15.6,12.0,9452
Villerest,14.9,11.7,4603
Aurec-sur-Loire,14.1,11.3,5906
Bas-en-Basset,13.7,11.3,4175
Beauzac,13.3,11.2,2717
Brioude,12.1,10.4,6315
Brives-Charensac,12.4,11.4,3941
Chadrac,12.8,11.8,2487
Le Chambon-sur-Lignon,12.7,10.6,2290
Coubon,13.4,11.1,2972
Craponne-sur-Arzon,11.6,10.7,1888
Dunières,12.7,10.4,2815
Espaly-Saint-Marcel,13.0,11.8,3450
Langeac,11.6,10.2,3489
Monistrol-sur-Loire,14.2,11.5,8578
Polignac,14.0,11.8,2850
Le Puy-en-Velay,12.5,10.9,17578
Retournac,11.9,11.4,2783
Saint-Didier-en-Velay,13.3,10.9,3323
Saint-Ferréol-d'Auroure,15.1,12.0,2369
Sainte-Florine,12.3,10.6,2973
Saint-Germain-Laprade,13.7,11.2,3440
Saint-Just-Malmont,13.0,10.7,4095
Saint-Maurice-de-Lignon,13.2,10.6,2441
Saint-Pal-de-Mons,13.5,10.8,2188
Saint-Paulien,12.1,10.4,2292
Sainte-Sigolène,13.1,10.2,5710
Tence,12.0,10.2,3040
Vals-près-le-Puy,13.2,11.2,3075
Yssingeaux,12.6,10.7,6753
Aigrefeuille-sur-Maine,14.4,11.8,3441
Ancenis,14.0,11.5,7123
Avessac,12.2,10.1,2511
Basse-Goulaine,19.2,13.9,8274
Batz-sur-Mer,13.7,11.3,2984
La Bernerie-en-Retz,14.3,11.5,2549
Besné,14.2,11.1,2821
Le Bignon,14.8,11.9,3549
Blain,13.4,11.0,9197
Bouaye,15.4,12.5,6783
Bouguenais,14.5,12.0,18082
Boussay,12.5,10.9,2751
Bouvron,13.2,11.1,3185
Brains,15.7,11.6,2669
Campbon,14.3,11.4,3864
Carquefou,19.2,14.0,17933
Casson,15.7,12.1,2101
Le Cellier,16.6,13.1,3639
La Chapelle-des-Marais,13.2,10.3,3971
La Chapelle-Heulin,14.6,12.2,3206
La Chapelle-Launay,15.6,11.7,2797
La Chapelle-sur-Erdre,18.5,13.9,18801
Châteaubriant,12.8,10.8,11471
Château-Thébaud,15.2,12.0,2810
Chauvé,12.4,10.5,2622
La Chevrolière,14.8,11.6,5195
Clisson,15.3,12.0,6481
Cordemais,14.2,11.5,3454
Corsept,14.0,11.2,2599
Couëron,14.7,12.2,19933
Couffé,13.7,11.3,2397
Le Croisic,14.4,10.6,3688
Crossac,14.2,10.8,2820
Derval,12.6,10.7,3320
Donges,14.0,10.5,7287
Drefféac,13.8,10.8,2083
Erbray,13.3,10.6,2905
La Baule-Escoublac,18.9,12.7,15138
Fay-de-Bretagne,13.5,11.4,3380
Fégréac,12.9,10.3,2222
Frossay,13.7,10.8,3122
Gétigné,13.5,11.2,3406
Gorges,14.7,11.3,4622
Grandchamps-des-Fontaines,15.5,12.5,5386
Guémené-Penfao,12.3,10.5,5079
Guenrouet,13.1,10.5,3164
Guérande,15.2,11.4,15680
La Haie-Fouassière,15.5,12.1,4450
Haute-Goulaine,17.9,12.8,5345
Herbignac,13.3,10.7,6274
Héric,14.4,11.7,5551
Indre,14.8,12.7,3927
Joué-sur-Erdre,13.4,11.2,2283
Le Landreau,13.8,11.1,2870
Legé,12.1,10.1,4222
Ligné,14.1,11.8,4998
La Limouzinière,13.3,10.8,2255
Le Loroux-Bottereau,13.7,11.6,7724
Maisdon-sur-Sèvre,13.0,11.3,2807
Malville,14.2,11.5,3297
Mauves-sur-Loire,16.4,12.5,2998
Mésanger,13.6,11.0,4558
Missillac,13.4,10.4,4946
La Montagne,14.4,12.2,5926
Montbert,13.8,11.6,2990
Montoir-de-Bretagne,13.6,10.5,6779
Mouzillon,13.4,11.2,2762
Nantes,16.0,12.9,288885
Nort-sur-Erdre,14.1,11.4,8166
Notre-Dame-des-Landes,13.5,11.2,2018
Nozay,12.4,10.4,8730
Orvault,18.0,13.8,24727
Oudon,15.4,12.2,3567
Paimboeuf,12.8,10.6,3059
Le Pallet,13.9,11.7,3225
Le Pellerin,14.0,11.7,4680
Petit-Mars,15.0,12.3,3553
Piriac-sur-Mer,15.6,10.9,2078
La Plaine-sur-Mer,13.7,10.8,3926
La Planche,12.3,10.4,2436
Plessé,13.1,10.7,5038
Pontchâteau,14.2,10.9,9929
Pont-Saint-Martin,15.2,12.2,5500
Pornic,16.2,11.9,14187
Pornichet,17.3,12.5,10433
Port-Saint-Père,14.5,11.5,2786
Le Pouliguen,14.9,11.1,4327
Prinquiau,14.5,11.5,3429
Rezé,14.3,12.2,38404
Riaillé,12.4,10.5,2129
Rouans,14.2,11.3,2663
Rougé,12.2,10.7,2067
Saffré,13.3,11.0,3720
Saint-Aignan-Grandlieu,14.9,11.6,3743
Saint-André-des-Eaux,16.6,11.7,6210
Sainte-Anne-sur-Brivet,14.0,11.0,2847
Saint-Brevin-les-Pins,15.6,11.9,12258
Saint-Colomban,12.9,11.0,3232
Corcoué-sur-Logne,12.7,10.8,2587
Saint-Étienne-de-Montluc,17.0,13.1,6542
Saint-Géréon,14.6,11.7,2778
Saint-Gildas-des-Bois,12.8,10.4,3412
Saint-Herblain,14.2,12.1,43488
Saint-Hilaire-de-Chaléons,13.4,11.0,2146
Saint-Hilaire-de-Clisson,14.0,11.0,2158
Saint-Jean-de-Boiseau,15.0,11.8,5403
Saint-Joachim,13.5,10.5,3775
Saint-Julien-de-Concelles,14.7,12.2,6604
Sainte-Luce-sur-Loire,16.1,12.8,14423
Saint-Lumine-de-Clisson,14.0,11.2,2075
Saint-Lyphard,14.2,11.3,4420
Saint-Malo-de-Guersac,14.0,10.8,3160
Saint-Mars-de-Coutais,14.8,11.4,2549
Saint-Mars-du-Désert,14.8,11.9,4733
Saint-Mars-la-Jaille,11.8,10.3,2297
Saint-Michel-Chef-Chef,13.8,11.0,4579
Saint-Molf,14.1,10.5,2475
Saint-Nazaire,14.2,11.3,71463
Saint-Nicolas-de-Redon,12.8,10.6,3013
Sainte-Pazanne,14.2,11.3,6237
Saint-Père-en-Retz,12.8,10.2,4222
Saint-Philbert-de-Grand-Lieu,14.6,11.6,8504
Sainte-Reine-de-Bretagne,13.3,10.4,2140
Saint-Sébastien-sur-Loire,15.6,12.6,25197
Saint-Viaud,13.4,11.0,2325
Sautron,21.0,14.4,7257
Savenay,15.6,12.4,7919
Les Sorinières,15.5,12.5,7667
Sucé-sur-Erdre,20.1,14.4,6515
Thouaré-sur-Loire,17.0,13.0,8803
Les Touches,12.9,11.4,2253
Treillières,18.3,13.2,8251
Trignac,13.1,10.3,7245
La Turballe,13.9,11.2,4377
Vallet,14.3,11.3,8484
Vay,12.5,10.8,2062
Vertou,18.0,13.4,22571
Vieillevigne,13.3,10.6,4071
Vigneux-de-Bretagne,17.6,13.6,5494
Geneston,14.4,11.6,3540
Amilly,14.6,11.8,13560
Baule,14.9,12.6,1990
Beaugency,14.9,12.1,7261
Boigny-sur-Bionne,16.8,14.7,2103
Bonny-sur-Loire,13.1,11.2,1881
Briare,14.2,11.5,5486
Cepoy,14.3,11.4,2277
Chaingy,15.7,13.0,3412
Châlette-sur-Loing,12.1,10.6,12491
La Chapelle-Saint-Mesmin,14.6,12.3,9701
Châteauneuf-sur-Loire,14.6,12.0,7804
Château-Renard,13.9,11.5,2176
Châtillon-sur-Loire,14.5,11.5,3041
Chécy,16.9,13.6,8602
Chevilly,14.0,11.8,2602
Cléry-Saint-André,15.2,12.8,3382
Corquilleroy,13.0,11.1,2693
Coullons,13.9,11.3,2402
Courtenay,13.4,10.9,5198
Dadonville,13.8,11.4,2405
Donnery,16.9,14.2,2618
Dordives,13.8,11.7,3135
Fay-aux-Loges,15.6,12.5,3563
Ferrières-en-Gâtinais,14.2,11.6,3522
La Ferté-Saint-Aubin,14.6,12.2,7022
Fleury-les-Aubrais,13.7,12.2,20374
Gien,14.1,11.0,13750
Ingré,15.4,13.1,8200
Jargeau,14.9,12.4,4411
Lailly-en-Val,14.1,12.1,2788
